Timeseries,Q_obs,NuiLe,GiaUi_Local,Junction1,Junction2,Reach1,Sink1
2019-06-07,0.09,0.32423088945966955,0.25837798521398725,0.32423088945966955,0.6001114465824807,0.3417334613684935,0.6001114465824807
2019-06-08,0.09,0.34194453694918964,0.26865696714727194,0.34194453694918964,0.5938959115810959,0.32523894443382395,0.5938959115810959
2019-06-09,0.09,0.26274939361767097,0.24513726610707842,0.26274939361767097,0.5283405587460637,0.2832032926389852,0.5283405587460637
2019-06-10,0.09,0.19657248593082915,0.21872868986745256,0.19657248593082915,0.4020676506018319,0.18333896073437936,0.4020676506018319
2019-06-11,0.09,0.3011705482773042,0.24781671464591715,0.3011705482773042,0.5530768923427671,0.30526017769684993,0.5530768923427671
2019-06-12,0.09,0.22514600558054979,0.22181754801654252,0.22514600558054979,0.44886313020801805,0.22704558219147553,0.44886313020801805
2019-06-13,0.09,0.17594542539897395,0.19851943225999086,0.17594542539897395,0.37635254480885916,0.17783311254886833,0.37635254480885916
2019-06-14,0.09,0.20699093238258595,0.20005875507894288,0.20699093238258595,0.4031388878018013,0.2030801327228584,0.4031388878018013
2019-06-15,0.09,0.17057335625755965,0.18084177170153137,0.17057335625755965,0.35749758042855034,0.17665580872701897,0.35749758042855034
2019-06-16,0.09,0.1607648212628805,0.16227214167766657,0.1607648212628805,0.3183871234076615,0.15611498172999497,0.3183871234076615
2019-06-17,0.09,0.35179195288832504,0.22210352461585725,0.35179195288832504,0.564164594367675,0.3420610697518177,0.564164594367675
2019-06-18,0.09,0.26600781953631736,0.19992816122441792,0.26600781953631736,0.480720720260479,0.2807925590360611,0.480720720260479
2019-06-19,0.09,0.19073171143893267,0.17314340330997074,0.19073171143893267,0.35629595333244013,0.18315255002246938,0.35629595333244013
2019-06-20,0.09,0.16391762190002276,0.15454259413412055,0.16391762190002276,0.3270800482348325,0.17253745410071192,0.3270800482348325
2019-06-21,0.09,0.1622784456810225,0.13818016215696396,0.1622784456810225,0.292981447819213,0.154801285662249,0.292981447819213
2019-06-22,0.09,0.5445763816028496,0.26808305458455156,0.5445763816028496,0.7915740219936684,0.5234909674091168,0.7915740219936684
2019-06-23,0.09,0.39172998804297293,0.2398617120663127,0.39172998804297293,0.661236677320338,0.4213749652540253,0.661236677320338
2019-06-24,0.09,0.298703576087237,0.21719865829133897,0.298703576087237,0.4965131254942733,0.27931446720293435,0.4965131254942733
2019-06-25,0.09,0.2261864669047948,0.19267729440799508,0.2261864669047948,0.44119896336628206,0.248521668958287,0.44119896336628206
2019-06-26,0.09,0.17710116781447102,0.16586537361617432,0.17710116781447102,0.3268379562134106,0.1609725825972363,0.3268379562134106
2019-06-27,0.09,0.5865774394493298,0.303916375643013,0.5865774394493298,0.8750646370402217,0.5711482613972088,0.8750646370402217
2019-06-28,0.09,0.4313799531934918,0.27572839392682863,0.4313799531934918,0.7319392281921921,0.45621083426536346,0.7319392281921921
2019-06-29,0.09,0.33842935358611914,0.25364344428632246,0.33842935358611914,0.5769203952425779,0.32327695095625547,0.5769203952425779
2019-06-30,0.09,0.4437559253775315,0.2933182035099633,0.4437559253775315,0.7428019418403873,0.44948373833042393,0.7428019418403873
2019-07-01,0.09,0.3509148558323703,0.2707280677553146,0.3509148558323703,0.6233162663454282,0.35258819859011364,0.6233162663454282
2019-07-02,0.09,0.6051108040056552,0.36324432777425275,0.6051108040056552,0.9484794927256722,0.5852351649514195,0.9484794927256722
2019-07-03,0.09,0.46424939173139185,0.33584927939704884,0.46424939173139185,0.8278100060182709,0.49196072662122214,0.8278100060182709
2019-07-04,0.09,0.37355272573772835,0.3117931669596548,0.37355272573772835,0.6674920656991763,0.35569889873952154,0.6674920656991763
2019-07-05,0.09,0.5775941328868334,0.38444008888335857,0.5775941328868334,0.9629966321156676,0.578556543232309,0.9629966321156676
2019-07-06,0.6687037037037068,0.7615567056414952,0.8437580282741087,0.7615567056414952,1.5911497203066358,0.7473916920325271,1.5911497203066358
2019-07-07,0.6687037037037017,0.5795548503018285,0.4130309783908201,0.5795548503018285,1.018243076148217,0.6052120977573969,1.018243076148217
2019-07-08,0.6687037037037017,0.4490953769123206,0.37943780673195326,0.4490953769123206,0.8153678285769834,0.43593002184503016,0.8153678285769834
2019-07-09,0.6687037037037068,0.4545262302354372,0.3816649715397558,0.4545262302354372,0.8473994114544615,0.4657344399147057,0.8473994114544615
2019-07-10,0.09,0.35002276393736254,0.3446097828760463,0.35002276393736254,0.6923207830409208,0.34771100016487444,0.6923207830409208
2019-07-11,0.09,0.27819614287854927,0.3098544350201586,0.27819614287854927,0.5952871942275647,0.28543275920740613,0.5952871942275647
2019-07-12,0.09,0.25511094116991667,0.27997393977559343,0.25511094116991667,0.5303790787263558,0.25040513895076233,0.5303790787263558
2019-07-13,0.09,0.2525598317582176,0.2530332401714259,0.2525598317582176,0.509924510510868,0.25689127033944203,0.509924510510868
2019-07-14,0.09,0.2500342334406354,0.22612858746226935,0.2500342334406354,0.47252877223352624,0.24640018477125689,0.47252877223352624
2019-07-15,0.09,0.24753389110622906,0.2057832934514916,0.24753389110622906,0.45670051607668716,0.25091722262519556,0.45670051607668716
2019-07-16,0.09,0.24505855219516673,0.188327644139284,0.24505855219516673,0.4305839838714951,0.24225633973221114,0.4305839838714951
2019-07-17,1.2574074074074084,1.1578785218867518,1.2105744225619264,1.1578785218867518,2.3048437973755913,1.094269374813665,2.3048437973755913
2019-07-18,1.2574074074074033,0.8569358283654746,0.43091704283485416,0.8569358283654746,1.3656904725128278,0.9347734296779737,1.3656904725128278
2019-07-19,0.1,0.6499077378966173,0.39641557896391655,0.6499077378966173,0.9927192499170694,0.5963036709531528,0.9927192499170694
2019-07-20,0.1,0.5130081102142305,0.36514827361209723,0.5130081102142305,0.9353025075673854,0.5701542339552882,0.9353025075673854
2019-07-21,0.1,0.6917164471545514,0.43569803025335574,0.6917164471545514,1.0641205776432785,0.6284225473899228,1.0641205776432785
2019-07-22,0.1,0.5456474625409293,0.39958920958561733,0.5456474625409293,1.0115852661899982,0.6119960566043808,1.0115852661899982
2019-07-23,0.1,0.4403707490240641,0.36602121792718056,0.4403707490240641,0.7555463253608667,0.3895251074336862,0.7555463253608667
2019-07-24,0.1,0.359108906516366,0.3312736841134394,0.359108906516366,0.7410703983334777,0.4097967142200382,0.7410703983334777
2019-07-25,0.1,0.41354879928423904,0.3383934191580883,0.41354879928423904,0.7033351184678706,0.36494169930978226,0.7033351184678706
2019-07-26,0.1,0.33869780700302127,0.30483403355637007,0.33869780700302127,0.6917829620445998,0.3869489284882297,0.6917829620445998
2019-07-27,0.1,0.3050052216926535,0.2782483366977697,0.3050052216926535,0.5431735274801903,0.26492519078242066,0.5431735274801903
2019-07-28,0.1,0.36402970418293934,0.28486176850739864,0.36402970418293934,0.6799373568319839,0.3950755883245852,0.6799373568319839
